"1 year of work experience in software programming. Experience must include at least one of the following languages: Java, C, C++, C#, Python, Go, or Perl","yes"
"1+ years of experience operating in a cloud native environment (AWS/GCP/Azure, K8s/serverless)","yes"
"2+ years of experience inn software development","yes"
"2+ years of experience working with a SQL-based Relational Database (PostgreSQL, MySQL, MariaDB, AuroraDB, etc)","yes"
"3-5+ year’s experience in software development","yes"
"3+ years experience in Java, Python, or C++ (Java preferred).","yes"
"3+ years experience in Java, Python, or C++ - Java preferred","yes"
"3+ years of experience in Java, Python and/or Django","yes"
"3+ years of experience in software development or equivalent skillset","yes"
"3+ years of experience programming with one of the following: Java, C#, C++","yes"
"4+ years of software development experience with programming languages such as Java, C#/C++, or Go","yes"
"4+ years of software engineering experience.","yes"
"5+ years experience programming with at least one of the following languages: Java, JavaScript, Python","yes"
"6 or more years of experience in software development.","yes"
"6+ years experience in Java, Python, or C++","yes"
"6+ years of professional experience as a Software Engineer ideally using a popular programming language (Java, Python, Go, Kotlin, etc.) for at least 4+ continuous years.","yes"
"7+ years of experience in backend software development","yes"
"7+ years of software development experience with programming languages such as Java, C#/C++, Kotlin or Go.","yes"
"Ability to debug, optimize code, and automate routine tasks","yes"
"Ability to drive multiple projects with people in different functional areas.","yes"
"Ability to take product ownership and commit to delivery.","yes"
"Ability to work efficiently on a remote/distributed team","yes"
"Ability to work independently using project management skills","yes"
"Able to collaborate effectively and act as a strategic partner in product decisions","yes"
"Able to debug, analyze and work independently.","yes"
"Able to work independently but also comfortable in assisting/mentoring other developers","yes"
"A collection of systems connected and communicating via a network connection.","yes"
"Application development, including services development in Java (or similar OO languages)","yes"
"Are comfortable with Unix commands, experience writing shell scripts","yes"
"Are eager to learn and not afraid to deep-dive into complex and low-level problems.","yes"
"Are independent; you can seek help as needed and otherwise unblock yourself","yes"
"Are passionate about collaboration and making others around you successful.","yes"
"Are passionate about mentoring others and growing the careers of those around them","yes"
"Are passionate about supporting big data and machine learning technologies to solve challenging problems.","yes"
"At least 3-5+ years experience in software development with at least one of the following languages: Java, C#, C++ or Python","yes"
"AWS or other cloud providers","yes"
"BS degree in Computer Science, related technical field, or equivalent practical experience","yes"
"BS in Computer Science or a related area, or relevant work experience","yes"
"BS in Computer Science or a related area, or with relevant work experience","yes"
"BS in Computer Science or equivalent practical experience","yes"
"BS in Computer Science or related area, or commensurate work experience","yes"
"B.S. in Computer Science or related area, or relevant work experience","yes"
"BS in Computer Science or related area, or relevant work experience","yes"
"BS in Computer Science or related area, or relevant work experience.","yes"
"BS/MS in Computer Science, Computer Engineering, Electrical Engineering, Mathematics or a closely related computer technical field or commensurate experience and training","yes"
"BS or MS in Computer Science, an equivalent degree or experience","yes"
"BS or MS in Computer Science (or equivalent)","yes"
"BS or MS in Computer Science (or equivalent).","yes"
"BS or MS in Computer Science (or equivalent experience)","yes"
"BS or MS in Computer Science or related area, or relevant work experience.","yes"
"Databases, including MySQL, Mongo, or a similar program; or","yes"
"Data modeling and backend data stores, such as MySQL, PostgreSQL, MongoDB, ElasticSearch, or DynamoDB (or similar data stores)","yes"
"Deeply curious, empathetic, and impact driven","yes"
"Deliver high-quality, maintainable, and reusable software systems","yes"
"Demonstrated programming skills in Java, Javascript, Python or related languages","yes"
"Demonstrated programming skills in Java, Javascript, Python or related object-oriented languages","yes"
"Demonstrated programming skills in Java, Python, Javascript or other OOD syntax","yes"
"Excellent collaboration and interpersonal skills","yes"
"Excellent collaboration and interpersonal skills.","yes"
"Excellent communication and collaboration skills","yes"
"Excellent verbal and written communication skills","yes"
"Excellent written and verbal communication skills with the ability to present complex technical information in a clear and concise manner to a variety of audiences","yes"
"Experience architecting and developing scalable services, including services development in Java.","yes"
"Experience breaking down work on complex problems.","yes"
"Experience building APIs (REST, GraphQL)","yes"
"Experience building APIs that power single-page applications or complex browser-based features","yes"
"Experience building cloud development environments","yes"
"Experience building highly scalable distributed systems","yes"
"Experience building highly scalable, highly resilient, globally distributed, microservices-based web applications","yes"
"Experience building high-performance, highly-available and scalable distributed systems.","yes"
"Experience collaborating with data scientists","yes"
"Experience decomposing a monolithic application of moderate complexity into services","yes"
"Experience delivering high-quality, maintainable, and reusable software systems","yes"
"Experience designing and building modular platforms for other teams to contribute","yes"
"Experience designing, writing, and/or troubleshooting software and systems in a distributed, internet-scale Linux environment","yes"
"Experience in application development, including services development in Java (or similar OO languages)","yes"
"Experience in building complex, highly scalable software systems.","yes"
"Experience in making data-driven decisions for improving products.","yes"
"Experience with application development, including services development in Java (or similar OO languages)","yes"
"Experience with architecting cloud applications","yes"
"Experience with automation using Bash, Python, Java, etc.","yes"
"Experience with cloud technologies (AWS preferred).","yes"
"Experience with data-driven decision making.","yes"
"Experience with data modeling and backend data stores, such as MySQL, PostgreSQL, MongoDB, ElasticSearch, or DynamoDB (or similar data stores)","yes"
"Experience with data modeling and backend data stores, such as MySQL, PostgreSQL, MongoDB, ElasticSearch, or DynamoDB (or similar data stores)Excellent collaboration and interpersonal skills","yes"
"Experience with git, continuous integration systems, and bug tracking tools","yes"
"Experience with Object-Oriented Programming (OOP) and/or Design (OOD)","yes"
"Experience with Okteto, Docker, or Ansible","yes"
"Experience with product ownership","yes"
"Experience with Python and Java","yes"
"Experience with service-oriented and/or event-driven system architectures, high-performance distributed systems, APIs, and A/B testing.","yes"
"Experience with service-oriented architectures, APIs including GraphQL, gRPC, Protobuf, and REST","yes"
"Experience with service-oriented architectures, APIs including GraphQL, gRPC, Protobuf, REST","yes"
"Experience working with SQL/NoSQL databases","yes"
"Experience working with SQL/NoSQL databases.","yes"
"Experience writing code in Java, Go, Shell, Perl, Python, or a similar language","yes"
"Familiarity with containers and container-related technologies","yes"
"Familiarity with GraphQL and MongoDB","yes"
"Familiar with web APIs and technologies such as REST, GraphQL, or SOAP","yes"
"Fosters an inclusive culture","yes"
"Great debugging skills and proficient in identifying and analyzing the root cause of complex bugs in your code as well as others’ code","yes"
"Has a strong sense of ownership in everything you build.","yes"
"Has a working understanding of APIs to streamline the release process","yes"
"Has experience with a breadth of backend architecture principles and technologies..","yes"
"Have 5+ years experience in Software Engineering roles","yes"
"Have a BS in Computer Science or related area, or relevant experience.","yes"
"Have a passion for mentoring others and drive engineering excellencies","yes"
"Have a passion for using data to make decisions and helping others to do so","yes"
"Have a passion for your work and the problems you solve.","yes"
"Have a product-focused mindset; committed to iteration and experimentation; makes evidence based decisions","yes"
"Have a strong sense of ownership and follow through.","yes"
"Have a strong sense of ownership in everything you build.","yes"
"Have excellent written and verbal communication skills; our team is remote and scattered across North America so communication is key.","yes"
"Have experience as a Software Design Engineer in Test or SDET","yes"
"Have experience in making data-driven decisions for improving products.","yes"
"Have experience using Git","yes"
"Have strong ownership of your work and the problems you solve.","yes"
"Help foster an engineering culture with an exceedingly high bar for quality, ownership, and bias for action","yes"
"Influence colleagues and leadership to align and act on key opportunities","yes"
"Is excited to work on testing a variety of product ideas, either currently underway or conceived in the future","yes"
"Is excited to work on testing a variety of product ideas, either currently underway or conceived in the future.","yes"
"Is obsessive about providing the best possible customer experience","yes"
"Is obsessive about software quality, persistent in improving the software development process, and experienced in building highly available systems","yes"
